what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.ddms,0.9.5.v200911191123-20404,"com.android.ide.eclipse.ddms",1262558274050
started,bundle,org.eclipse.mylyn.bugzilla.core,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.bugzilla.core",1262558274051
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.bugzilla.ui",1262558274051
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1262558274051
started,bundle,org.eclipse.mylyn.commons.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.commons.ui",1262558274052
started,bundle,org.eclipse.mylyn.context.core,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.core",1262558274053
started,bundle,org.eclipse.mylyn.context.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.ui",1262558274053
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.monitor.ui",1262558274053
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.tasks.ui",1262558274054
started,bundle,org.eclipse.mylyn.team.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.team.ui",1262558274055
os,sysinfo,,,"win32",1262558274058
arch,sysinfo,,,"x86",1262558274058
ws,sysinfo,,,"win32",1262558274058
locale,sysinfo,,,"en_US",1262558274058
processors,sysinfo,,,"2",1262558274058
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1262558274058
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1262558274058
java.specification.name,sysinfo,,,"Java Platform API Specification",1262558274058
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1262558274058
java.specification.version,sysinfo,,,"1.6",1262558274058
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1262558274058
java.version,sysinfo,,,"1.6.0_17",1262558274058
java.vm.info,sysinfo,,,"mixed mode, sharing",1262558274058
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1262558274058
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1262558274058
